trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997}",25,0,-11.878363316706082,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.994}",20,11,-30.303533761986262,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.991}",25,5,-94.53843620281872,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.988}",20,0,-124.05085556854061,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.985}",35,2,-183.73110746022937,"{0: 20, 1: 1, 2: 8, 3: 2, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.982}",30,20,-8.703097266747815,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.979}",20,0,-56.77250018053307,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.976}",25,0,-235.24390340166093,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.973}",20,0,-25.64334899968432,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.97}",25,0,-97.36846610923568,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.967}",20,0,-22.627936931381264,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.964}",25,0,-121.1308362378353,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.961}",25,0,-221.8340557271363,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.958}",20,0,-126.21380071777693,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.955}",20,0,-112.11804095892745,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.952}",25,0,-114.50561096606451,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.949}",30,0,-176.2222637523034,"{0: 15, 1: 3, 2: 8, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.946}",20,0,-98.29605465350176,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.943}",20,0,-133.32584718380667,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
