trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.62091609581495,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-198.06770689058072,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.83142814819288,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.02870112607013,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-230.49841762073927,"{0: 14, 1: 0, 2: 11, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-203.24664350348414,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.41450699171676,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.06574027790069,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.90979620316104,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-217.05098305447353,"{0: 17, 1: 7, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.61184940755808,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.79833726501968,"{0: 12, 1: 6, 2: 9, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.0012343604495,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.73200202754985,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.8918002853656,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.88006604500924,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-209.01310278603648,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.8307075379743,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.32651307624859,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.40863474847643,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.08622538099495,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.94110366107034,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.74590040881439,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.98939889777282,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-153.1427559487856,"{0: 14, 1: 4, 2: 9, 3: 3, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.95843580520787,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.411462573512484,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.3111254137056,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-197.10119663776243,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.44509359454088,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
